"","TopicBig","TopicSm"
"96","Homeless-Related Issues","Police Issues"
"97","Homeless-Related Issues","Public Space Issues"
"98","Homeless-Related Issues","Social Service Issues"
"99","Housing","Housing Discrimination"
"100","Housing","Tenant Harassment"
"101","Housing","Section 8 issues"
"102","Housing","Substandard/Unpermitted housing units"
"103","Housing","Other (Housing)"
"104","Human Resources","Employment"
"105","Human Resources","Other (HR)"
"106","Leafblowers","Leafblowers"
"107","Library","Mobile App"
"108","Noise","Airport Noise"
"109","Noise","Construction Noise"
"110","Noise","Delivery Trucks"
"111","Noise","Disturbing the Peace"
"112","Noise","Events"
"113","Noise","Loud Music"
"114","Noise","Other (Noise)"
"115","Parking Issues","Parking Citations - Contesting"
"116","Parking Issues","Parking Citations Payment"
"117","Parking Issues","Parking Meter - Other"
"118","Parking Issues","Parking Permits"
"119","Parking Issues","Signage Complaints"
"120","Parking Issues","Broken Parking Meter"
"121","Parking Issues","Preferential Parking Issues"
"122","Parking Issues","Parking Structure Issues"
"123","Parking Issues","Other (Parking Issues)"
"124","Parks and Recreation","Memorial Park Gym"
"125","Parks and Recreation","Parks and Beach Use"
"126","Parks and Recreation","Skatepark"
"127","Parks and Recreation","Swim Center"
"128","Parks and Recreation","Tennis"
"129","Parks and Recreation","Other (Parks and Recreation)"
"130","Planning","Other (Customer Service)"
"131","Police","Animal Control"
"132","Police","Drugs/Narcotics"
"133","Police","Fingerprinting Services (Livescan)"
"134","Police","Gang Activity &amp; Graffiti"
"135","Police","General Customer Service"
"136","Police","Homeless-Related Issues"
"137","Police","Investigations &amp; Detectives"
"138","Police","Parking &amp; Traffic Enforcement Issues"
"139","Police","Police Non-Emergency"
"140","Police","Police Reports &amp; Records"
"141","Police","Other (Police)"
"142","Refuse and Recycling","Refuse &amp; Recycling Pick-up"
"143","Refuse and Recycling","Trash - Illegal Dumping"
"144","Refuse and Recycling","Container/Container Placement Issues"
"145","Refuse and Recycling","Other (Refuse and Recycling)"
"146","Rent Control","Eviction"
"147","Rent Control","Maintenance of Rental Property"
"148","Rent Control","Other (Rent Control)"
"149","Rent Control","Relocation Benefits"
"150","Rent Control","Rent Levels"
"151","Streetlights","Streetlights"
"152","Streets and Sidewalks","Other (Streets and Sidewalks)"
"153","Streets and Sidewalks","Potholes"
"154","Streets and Sidewalks","Street Signs &amp; Markings"
"155","Streets and Sidewalks","Trip Hazards"
"156","Taxis","Taxis"
"157","Traffic Issues","Crosswalks"
"158","Traffic Issues","Pedestrian Safety"
"159","Traffic Issues","Speeding"
"160","Traffic Issues","Stop Signs"
"161","Traffic Issues","Other (Traffic)"
"162","Traffic Signals","Equipment Repair"
"163","Traffic Signals","Flashing Crosswalks"
"164","Traffic Signals","Signal Timing"
"165","Trees","Palm Fronds Pick-up"
"166","Trees","Parkway Tree Water Bag Request"
"167","Trees","Tree Inspection"
"168","Trees","Tree Planting"
"169","Trees","Tree Removal and/or Replacement"
"170","Trees","Tree Stake/Restake Request"
"171","Trees","Tree Trimming"
"172","Trees","Trees - Sidewalk Damage"
"173","Trees","Other (Trees)"
"174","Water Services","Utility Billing"
"175","Water Services","Water Quality"
"176","Water Services","Sewer Issues"
"177","Water Services","Other (Water)"
"178","Zoning","Zoning Violations"
"179","Zoning","Other (Zoning)"
"180","Miscellaneous","Other"
